悲	非心 fx
惠	一心 ax
惬	忄夹 xj
愕	忄亏 xk
慕	艹⺗ cx
成	戊乛 wv
戕	爿戈 pg
戚	戊小 wx
戛	一戈 ag
抃	扌卞 fb
拔	扌丶 fd
拳	龹手 ju
挖	扌乛 fv
挛	亠手 wu
捡	扌一 fa
掭	扌⺗ fx
掾	扌豕 fu
揠	扌女 fn
搴	宀手 bu
携	扌乃 fn
摩	广手 gu
摹	艹手 cu
撬	扌毛 fm
擐	扌𧘇 fy
擘	尸手 uu
攘	扌𧘇 fy
收	乛攵 vw
敕	束攵 uw
整	束正 uv
斝	口十 ku
斡	十十 uu
斧	八斤 bj
斩	车斤 ij
斶	斤虫 ji
旬	勹日 bo
旭	九日 jo
昪	日廾 oc
晋	亚日 yo
曦	日丶 od
曩	日𧘇 oy
曳	丨丿 lp
本	一一 aa
杂	九朩 jm
束	一乀 an
来	一乀 an
桌	丨木 lm
梵	木凡 mf
检	木一 ma
棽	木乛 mv
椽	木豕 mu
槭	木小 mx
樗	木亏 mk
橇	木毛 mm
橐	一木 am
欣	斤人 jr
武	一止 av
每	丿母 pm
毐	士毋 uw
毪	毛牛 mn
毫	亠毛 wm
氅	⺌毛 xm
氍	目毛 om
水	丨乀 ln
沔	氵丏 dm
洚	氵丨 dl
涄	氵乛 dv
涿	氵乀 dn
淠	氵丨 dl
添	氵⺗ dx
渊	氵丨 dl
渰	氵廾 dc
渺	氵少 du
溷	氵豕 du
漻	氵丿 dp
澧	氵一 da
澴	氵𧘇 dy
澽	氵豕 du
牒	片木 pm
牻	牛丶 nd
猃	犭一 qa
班	王王 ww
琢	王乀 wn
瑑	王豕 wu
璆	王丿 wp
璩	王豕 wu
瓣	立十 lu
瓤	亠瓜 wg
甄	西瓦 xw
甓	尸瓦 uw
甗	虍瓦 hw
甦	更生 gu
由	丨一 la
甲	丨丨 ll
申	丨丨 ll
甸	勹田 bt
甾	乛田 vt
畿	幺田 yt
痹	疒丨 bl
瘃	疒乀 bn
瘳	疒丿 bp
癸	乛天 vt
盉	禾皿 hm
眄	目丏 om
看	龵目 uo
睑	目一 oa
睾	丿干 pg
睿	丨目 lo
示	二小 ex
祓	礻丶 pd
禳	礻𧘇 py
禺	丨丶 ld
禾	丿木 pm
稻	禾臼 hj
究	宀九 bj
穹	宀弓 bg
穿	宀牙 by
窀	宀屯 bt
窊	宀瓜 bg
窍	宀乛 bv
窕	宀丶 bd
窜	宀串 bi
窳	宀瓜 bg
笸	𥫗口 vk
签	𥫗一 va
箅	𥫗丨 vl
篆	𥫗豕 vu
粼	米乛 mv
繄	匚小 kx
绂	纟丶 sd
继	纟乛 sv
缘	纟豕 su
缪	纟丿 sp
缳	纟𧘇 sy
羼	尸羊 uy
羿	习廾 xc
翳	匚习 kx
耄	耂毛 lm
耽	耳乛 ev
肄	匕聿 by
肇	户聿 hy
胥	乛月 vo
脸	月一 oa
腭	月亏 ok
臧	戊臣 wi
至	一土 at
舁	臼廾 jc
舒	人丨 rl
舔	千⺗ qx
艴	弗巴 fb
苄	艹卞 cb
莶	艹一 ca
萼	艹亏 ck
蒙	艹乀 cn
蒱	艹甫 cf
蓥	艹金 cj
蓼	艹丿 cp
蔼	艹乛 cv
蕺	艹一 ca
薤	艹韭 cj
藏	艹臣 ci
虑	虍心 hx
虱	乛虫 vi
虺	兀虫 wi
蚩	乛虫 vi
蛋	乛虫 vi
蠡	乛虫 vi
蠹	一虫 ai
血	丿皿 pm
行	彳亍 ii
衍	彳亍 ii
衎	彳亍 ii
衒	彳亍 ii
衔	彳亍 ii
街	彳亍 ii
衙	彳亍 ii
衠	彳亍 ii
衡	彳亍 ii
衷	亠𧘇 wy
袤	亠𧘇 wy
裒	亠𧘇 wy
裣	衤一 pa
裹	亠𧘇 wy
褒	亠𧘇 wy
襄	亠𧘇 wy
襕	衤柬 pj
訇	勹口 bk
诼	讠乀 yn
谬	讠丿 yp
豢	龹豕 ju
豪	亠豕 wu
貌	豸儿 ve
质	丿人 pr
贯	毌人 gr
费	弗人 fr
跋	𧾷丶 zd
辄	车乛 iv
辨	立十 lu
迅	辶十 zu
逼	辶田 zt
遐	辶又 zy
遘	辶冉 zr
遽	辶豕 zu
邈	辶儿 ze
邕	乛巴 vb
邪	牙阝 ye
郾	匚阝 ke
酋	丷酉 by
醪	酉丿 yp
醴	酉一 ya
醵	酉豕 yu
釉	丿由 py
野	里丨 ll
金	人一 ra
鍪	龴金 sj
鏊	龶金 fj
鏖	广金 gj
鐾	尸金 uj
钷	钅口 jk
锷	钅亏 jk
镠	钅丿 jp
镮	钅𧘇 jy
镶	钅𧘇 jy
陋	阝乛 ev
降	阝丨 el
险	阝一 ea
隳	阝⺗ ex
隽	亻乃 rn
霭	雨乛 yv
靳	革斤 gj
韩	十韦 uw
韪	日韦 ow
须	丿人 pr
颀	斤人 jr
馥	禾夂 hw
骋	马乛 mv
验	马一 ma
骧	马𧘇 my
髎	骨丿 gp
髡	一兀 aw
魃	鬼丶 gd
鲅	鱼丶 ad
鳄	鱼亏 ak
鳢	鱼一 aa
鸦	牙鸟 yn
黍	禾氺 hu
黎	禾氺 hu
黏	禾口 hk
黧	禾黑 hh
黹	业丶 yd
鼒	才乛 cv
鼠	臼乛 jv
鼻	自丨 zl
东	一丶 ad
乍	丿一 pa
乖	千匕 qb
乘	千乀 qn
云	二厶 es
交	亠乂 wx
亥	亠人 wr
享	亠子 wz
亭	亠丁 wd
亮	亠几 wj
亳	亠七 wq
亸	亠丨 wl
仰	亻卩 re
佩	亻巾 rj
侂	亻七 rq
侔	亻牛 rn
俊	亻夂 rw
俎	人且 rq
俞	人刂 rd
俟	亻矢 ru
俺	亻电 rd
倍	亻口 rk
假	亻又 ry
傅	亻寸 rc
傲	亻攵 rw
僚	亻小 rx
僭	亻日 ro
僻	亻十 ru
儋	亻口 rk
儡	亻田 rt
儦	亻灬 rh
元	二儿 ee
先	𠂒儿 ne
光	⺌兀 xw
克	十儿 ue
兑	丷儿 be
兖	亠儿 we
兢	十儿 ue
公	八厶 bs
兰	丷三 bs
共	艹八 cb
关	丷天 bt
兴	𭕄八 xb
兹	丷幺 by
兽	丷口 bk
冀	丨八 lb
内	丨丶 ld
冉	丨一 la
册	丿一 pa
冥	冖八 bb
决	冫夬 dg
凌	冫夂 dw
凛	冫小 dx
凯	山几 ej
出	乛凵 vk
刀	乛丿 vp
分	八刀 bd
切	七刀 qd
划	戈刂 gd
刖	月刂 od
刘	文刂 wd
则	冂刂 kd
券	龹刀 jd
剀	山刂 ed
前	丷刂 bd
剐	口刂 kd
剑	人刂 rd
剖	立刂 ld
剟	又刂 yd
劂	厂刂 id
劈	尸刀 ud
劐	艹刂 cd
劝	又力 yl
功	工力 gl
加	力口 lk
动	二力 el
劳	艹力 cl
勃	十力 ul
勒	革力 gl
募	艹力 cl
勰	力心 lx
匏	大巳 ds
匙	日匕 ob
卒	亠十 wu
南	十干 ug
博	十寸 uc
